Proteome ID	Organism	Organism ID	Last modified
UP000007237	Saccharomyces cerevisiae (strain FostersO) (Baker's yeast)	764101	2014-10-15
UP000000309	Saccharomyces cerevisiae (strain FostersB) (Baker's yeast)	764102	2015-04-01
UP000007238	Saccharomyces cerevisiae (strain Zymaflore VL3) (Baker's yeast)	764100	2015-04-01
UP000000311	Camponotus floridanus (Florida carpenter ant)	104421	2015-04-01
UP000002498	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23))	655844	2015-02-17
UP000000306	Saccharomyces cerevisiae (strain AWRI796) (Baker's yeast)	764097	2015-04-01
UP000002497	Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus)	443226	2014-10-22
UP000007797	Dictyostelium fasciculatum (strain SH3) (Slime mold)	1054147	2014-10-22
UP000007798	Drosophila willistoni (Fruit fly)	7260	2014-10-15
UP000001460	Cryptosporidium muris (strain RN66)	441375	2014-10-15
UP000008784	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491) (Nematode-trapping fungus) (Didymozoophaga oligospora)	756982	2014-10-15
UP000013776	Taphrina deformans (strain PYCC 5710 / ATCC 11124 / CBS 356.35 / IMI 108563 / JCM 9778 / NBRC 8474) (Peach leaf curl fungus) (Lalaria deformans)	1097556	2015-04-01
UP000001070	Drosophila grimshawi (Fruit fly) (Idiomyia grimshawi)	7222	2014-10-15
UP000007799	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	946362	2014-10-15
UP000002499	Metarhizium acridum (strain CQMa 102)	655827	2014-10-15
UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	2015-04-01
UP000001058	Volvox carteri (Green alga)	3067	2014-10-15
UP000001292	Drosophila sechellia (Fruit fly)	7238	2015-01-20
UP000008237	Harpegnathos saltator (Jerdon's jumping ant)	610380	2014-10-15
UP000008980	Leishmania donovani (strain BPK282A1)	981087	2015-04-01
UP000006539	Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri)	13686	2014-10-15
UP000007801	Drosophila ananassae (Fruit fly)	7217	2015-04-01
UP000007800	Perkinsus marinus (strain ATCC 50983 / TXsc)	423536	2014-10-15
UP000008909	Clonorchis sinensis (Chinese liver fluke)	79923	2014-10-15
UP000008383	Trichophyton verrucosum (strain HKI 0517)	663202	2014-10-15
UP000008711	Drosophila erecta (Fruit fly)	7220	2014-10-15
UP000001611	Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	498257	2014-10-15
UP000007802	Ajellomyces dermatitidis (strain ATCC 18188 / CBS 674.68) (Blastomyces dermatitidis)	653446	2014-12-11
UP000001610	Cordyceps militaris (strain CM01) (Caterpillar fungus)	983644	2014-10-15
UP000008867	Sporisorium reilianum (strain SRZ2) (Maize head smut fungus)	999809	2014-10-15
UP000001608	Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) (Baker's yeast)	721032	2015-04-01
UP000008866	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	2015-04-01
UP000007805	Cryptococcus gattii serotype B (strain WM276 / ATCC MYA-4071) (Filobasidiella gattii) (Cryptococcus bacillisporus)	367775	2015-04-01
UP000002313	Encephalitozoon intestinalis (strain ATCC 50506) (Microsporidian parasite) (Septata intestinalis)	876142	2014-10-15
UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	2015-04-01
UP000008864	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete's foot fungus)	559305	2014-11-08
UP000002320	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	2015-04-01
UP000001555	Ixodes scapularis (Black-legged tick) (Deer tick)	6945	2014-10-15
UP000002316	Trypanosoma brucei gambiense (strain MHOM/CI/86/DAL972)	679716	2015-04-01
UP000009192	Drosophila mojavensis (Fruit fly)	7230	2014-10-15
UP000022177	Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum)	5518	2015-04-01
UP000008063	Serpula lacrymans var. lacrymans (strain S7.3) (Dry rot fungus)	936435	2014-10-22
UP000008064	Serpula lacrymans var. lacrymans (strain S7.9) (Dry rot fungus)	578457	2014-10-22
UP000008065	Neurospora tetrasperma (strain FGSC 2508 / ATCC MYA-4615 / P0657)	510951	2015-04-01
UP000002226	Toxoplasma gondii	5811	2014-10-22
UP000017559	Moniliophthora roreri (strain MCA 2997) (Cocoa frosty pod rot fungus) (Crinipellis roreri)	1381753	2014-10-15
UP000007648	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	9305	2015-04-01
UP000007646	Loxodonta africana (African elephant)	9785	2015-04-01
UP000007635	Gasterosteus aculeatus (Three-spined stickleback)	69293	2015-04-01
UP000008313	Trypanosoma cruzi	5693	2015-04-01
UP000002640	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	1094619	2014-10-22
UP000013521	Botryosphaeria parva (strain UCR-NP2) (Grapevine canker fungus) (Neofusicoccum parvum)	1287680	2014-10-15
UP000002358	Nasonia vitripennis (Parasitic wasp)	7425	2015-04-01
UP000001744	Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast)	402676	2014-10-15
UP000001743	Postia placenta (strain ATCC 44394 / Madison 698-R) (Brown rot fungus) (Poria monticola)	561896	2014-10-15
UP000001745	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	441959	2014-10-15
UP000008062	Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici)	336722	2015-04-01
UP000001876	Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga)	564608	2014-10-22
UP000002428	Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) (Yeast) (Torulopsis glabrata)	284593	2015-04-01
UP000017200	Microbotryum violaceum (strain p1A1 Lamole) (Anther smut fungus) (Ustilago violacea)	683840	2015-04-01
UP000002009	Micromonas sp. (strain RCC299 / NOUM17) (Picoplanktonic green alga)	296587	2015-04-01
UP000017242	Hymenolepis microstoma (Rodent tapeworm) (Rodentolepis microstoma)	85433	2015-04-01
UP000017246	Echinococcus multilocularis (Fox tapeworm)	6211	2015-04-01
UP000023152	Reticulomyxa filosa	46433	2014-10-15
UP000027581	Plasmodium reichenowi	5854	2014-10-23
UP000008988	Saccharomyces cerevisiae (strain AWRI1631) (Baker's yeast)	545124	2014-10-15
UP000009096	Gibberella moniliformis (strain M3125 / FGSC 7600) (Maize ear and stalk rot fungus) (Fusarium verticillioides)	334819	2015-04-01
UP000009097	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428	2015-04-01
UP000001595	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	9601	2015-04-01
